id,actor_name,character,film_name,year
97751,Leonardo DiCaprio,Calvin Candie,Django Unchained,2012
97752,Christoph Waltz,Dr. King Schultz,Django Unchained,2012
97979,David Koechner,Dan,Waiting...,2005
98075,Paul Rudd,Alvin,Prince Avalanche,2013
98298,Steve Carell,Gru,Despicable Me 2,2013
100282,Owen Wilson,Lightning McQueen,Cars,2006
100413,Brad Pitt,Westray,The Counselor,2013
100422,David Koechner,Colin,Cheap Thrills,2013
100552,Seth Rogen,Captain,"For a Good Time, Call . . .",2012
101413,Leslie Mann,Jamie,The Change-Up,2011
101538,Brad Pitt,Chief Judge Vaughn R. Walker,8,2012
101958,Steve Carell,Frank Ginsburg,Little Miss Sunshine,2006
103788,Steve Carell,Evan Baxter,Evan Almighty,2007
103796,Jonah Hill,Eugene,Evan Almighty,2007
104235,Jonah Hill,,The Sitter,2011
104255,Owen Wilson,Kenny Bostick,The Big Year,2011
104316,David Koechner,Chet,Piranha 3DD,2012
105409,Steve Carell,Dan Burns,Dan in Real Life,2007
105430,David Koechner,,Here Comes Peter Cottontail: The Movie,2005
105679,Christoph Waltz,Cardinal Richelieu,The Three Musketeers,2011
105855,Jonah Hill,Junior Philosopher,Rocket Science,2007
106069,Megan Fox,Candace,Crimes Of Fashion,2004
106367,Jason Segel,Horatio,Gulliver's Travels,2010
106372,Chris O'Dowd,General Edward,Gulliver's Travels,2010
106568,Seth Rogen,Ben Stone,Knocked Up,2007
106570,Paul Rudd,Pete,Knocked Up,2007
106571,Leslie Mann,Debbie,Knocked Up,2007
106573,Jonah Hill,Jonah,Knocked Up,2007
106574,Jason Segel,Jason,Knocked Up,2007
106581,Will Ferrell,Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,2006
106595,David Koechner,Hershell,Talladega Nights: The Ballad of Ricky Bobby,2006
106655,Jonah Hill,Seth,Superbad,2007
106658,Seth Rogen,Officer Michaels,Superbad,2007
107094,Jonah Hill,Bret,I Heart Huckabees,2004
107112,Paul Rudd,Sammy Silverstein,P.S.,2004
108005,Jason Segel,Jason,LolliLove,2006
108397,Ben Stiller,Roger Greenberg,Greenberg,2010
108853,Owen Wilson,Rick,Hall Pass,2011
110971,Owen Wilson,Randolph Dupree,"You, Me and Dupree",2006
110975,Seth Rogen,Neil,"You, Me and Dupree",2006
110992,David Koechner,Darrell,"Yours, Mine and Ours",2005
112382,Vince Vaughn,Rosie,Lay the Favorite,2012
112741,Shia LaBeouf,Jacob,"New York, I Love You",2008
113034,Brad Pitt,Metro Man,MegaMind,2010
113035,Will Ferrell,Megamind,MegaMind,2010
113036,Jonah Hill,Titan,MegaMind,2010
113037,Jonah Hill,Hal Stewart,MegaMind,2010
113039,Ben Stiller,Bernard,MegaMind,2010
113177,Megan Fox,Mary Jane,Friends with Kids,2011
113181,Chris O'Dowd,Alex,Friends with Kids,2011
113852,Jonah Hill,Ben Newman,Click,2006
113873,David Koechner,Rick,Snakes on a Plane,2006
113973,Brad Pitt,Rusty Ryan,Ocean's Thirteen,2007
114314,David Koechner,,Fully Loaded,2011
114352,Will Ferrell,Angel,"Good Cop, Baby Cop",2007
114759,Shia LaBeouf,Cooper,Bobby,2006
115565,Brad Pitt,Richard Jones,Babel,2006
116159,Steve Carell,Trent,"The Way, Way Back",2013
117316,David Koechner,Detective O'Grady,Small Apartments,2012
117423,Jonah Hill,Frank Fawcett,The Invention of Lying,2009
117685,Jason Segel,Tom Solomon,The Five-Year Engagement,2012
117921,Shia LaBeouf,Jack Bondurant,Lawless,2012
118037,David Koechner,Rick The Birdmaster,Balls of Fury,2007
119211,Paul Rudd,Peter Klaven,Jason Segel &amp; Paul Rudd Meet Rush,2011
119212,Jason Segel,Sydney Fife,Jason Segel &amp; Paul Rudd Meet Rush,2011
119278,Seth Rogen,Mantis,Kung Fu Panda 2,2011
119280,Jackie Chan,Monkey,Kung Fu Panda 2,2011
119893,Leonardo DiCaprio,Jay Gatsby,The Great Gatsby,2013
120474,Paul Rudd,Jeff Reigert,The Ten,2007
121615,Shia LaBeouf,Chas Kramer,Constantine,2005
121742,Will Ferrell,Cam Brady,The Campaign,2012
121937,Matthew McConaughey,Steve Addington,Surfer Dude,2008
122754,Jonah Hill,Eddie,Just Add Water,2008
122918,Seth Rogen,Ship Captain,Shrek the Third,2007
123694,Owen Wilson,Ned Plimpton,The Life Aquatic with Steve Zissou,2004
124394,Shia LaBeouf,Cody Maverick,Surf's Up,2007
124518,Brad Pitt,Jackie Cogan,Killing Them Softly,2012
125456,Shia LaBeouf,Kale Brecht,Disturbia,2007
125493,Jonah Hill,Cooker,Strange Wilderness,2008
125982,Seth Rogen,Andy Brewster,The Guilt Trip,2012
126360,Brad Pitt,John Smith,Mr. &amp; Mrs. Smith,2005
126363,Vince Vaughn,Eddie,Mr. &amp; Mrs. Smith,2005
126771,Vince Vaughn,Fred Claus,Fred Claus,2007
127346,Seth Rogen,Paul,Paul,2011
127356,David Koechner,Gus,Paul,2011
127388,Matthew McConaughey,Mickey Haller,The Lincoln Lawyer,2011
127476,Seth Rogen,Hogsqueal,The Spiderwick Chronicles,2008
127516,Seth Rogen,Ronnie Barnhardt,Observe and Report,2009
127887,Brad Pitt,Lt. Aldo Raine,Inglourious Basterds,2009
127902,Christoph Waltz,Hans Landa,Inglourious Basterds,2009
127932,Will Ferrell,Ron Burgundy,Anchorman: The Legend of Ron Burgundy,2004
127934,Steve Carell,Brick Tamland,Anchorman: The Legend of Ron Burgundy,2004
127935,Paul Rudd,Brian Fantana,Anchorman: The Legend of Ron Burgundy,2004
127936,David Koechner,Champ Kind,Anchorman: The Legend of Ron Burgundy,2004
127937,Ben Stiller,Arturo Mendes,Anchorman: The Legend of Ron Burgundy,2004
127943,Seth Rogen,Eager Cameraman,Anchorman: The Legend of Ron Burgundy,2004
127945,Vince Vaughn,Wes Mantooth,Anchorman: The Legend of Ron Burgundy,2004
127976,Vince Vaughn,Peter La Fleur,DodgeBall: A True Underdog Story,2004
127978,Ben Stiller,White Goodman,DodgeBall: A True Underdog Story,2004
128014,Steve Carell,Sherman,Sleepover,2004
128042,Brad Pitt,Bass,12 Years a Slave,2013
128350,Jonah Hill,Cyrus,Cyrus,2010
128363,Owen Wilson,Matty,How Do You Know,2010
128364,Paul Rudd,George,How Do You Know,2010
130593,Ben Stiller,,Danny Roane: First Time Director,2006
133066,David Koechner,,Careless,2007
133225,Jason Segel,Russell Gettis,Bad Teacher,2011
133714,Jason Segel,Smelly Bob,The Good Humor Man,2005
134209,David Koechner,Mac Thompkins,The Perfect Game,2009
134679,Will Ferrell,Renter,The Landlord,2007
134825,David Koechner,Bill Massey,My One and Only,2009
135556,Paul Rudd,Nick,Moves: The Rise And Rise Of The New Pornographers,2011
136320,Steve Carell,Burt Wonderstone,The Incredible Burt Wonderstone,2013
136761,Leonardo DiCaprio,Cobb,Inception,2010
136784,Steve Carell,Gru,Despicable Me,2010
