time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-19T09:18:36.630Z,33.5138333,-116.4675,11.31,0.1,ml,14,97,0.06863,0.12,ci,ci37062399,2014-11-19T09:23:02.660Z,"19km ESE of Anza, California",earthquake
2014-11-19T09:10:29.660Z,38.7578316,-122.713501,1.9,0.78,md,8,93,0.01518,0.03,nc,nc72349746,2014-11-19T09:35:02.260Z,"4km ESE of The Geysers, California",earthquake
2014-11-19T09:08:50.000Z,63.5235,-147.7671,14.9,1.5,ml,,,,0.2,ak,ak11445486,2014-11-19T10:14:03.369Z,"60km ENE of Cantwell, Alaska",earthquake
2014-11-19T08:56:09.910Z,35.9598351,-120.5134964,5.27,0.59,md,14,79,0.02709,0.06,nc,nc72349736,2014-11-19T09:11:03.376Z,"24km SW of Coalinga, California",earthquake
2014-11-19T08:52:34.000Z,63.0663,-150.4419,102.1,2.5,ml,,,,0.51,ak,ak11445475,2014-11-19T10:14:55.020Z,"83km WSW of Cantwell, Alaska",earthquake
2014-11-19T08:47:54.790Z,33.5066667,-116.5206667,15.43,0.21,ml,15,88,0.05143,0.23,ci,ci37062391,2014-11-19T08:52:25.710Z,"15km ESE of Anza, California",earthquake
2014-11-19T08:44:44.000Z,61.7961,-149.0966,33.8,3.7,ml,,,,0.52,ak,ak11445457,2014-11-19T11:08:10.733Z,"9km NE of Fishhook, Alaska",earthquake
2014-11-19T08:34:43.178Z,41.8727,-119.6356,1.6165,1.78,ml,4,221.15,0.498,0.1259,nn,nn00468531,2014-11-19T14:24:40.421Z,"68km ESE of Lakeview, Oregon",earthquake
2014-11-19T08:20:49.560Z,38.8110008,-122.8278351,2.66,0.98,md,19,71,0.002374,0.04,nc,nc72349711,2014-11-19T08:48:02.407Z,"7km WNW of The Geysers, California",earthquake
2014-11-19T08:11:39.630Z,33.4831667,-116.4725,15.64,1.05,ml,31,82,0.0888,0.22,ci,ci37062383,2014-11-19T08:16:46.710Z,"20km ESE of Anza, California",earthquake
2014-11-19T08:11:27.220Z,33.4835,-116.4676667,16.79,0.54,ml,18,131,0.09081,0.2,ci,ci37062375,2014-11-19T08:15:58.390Z,"20km ESE of Anza, California",earthquake
2014-11-19T08:10:41.040Z,33.4808333,-116.47,16.26,1.09,ml,35,48,0.09189,0.27,ci,ci37062367,2014-11-19T08:15:10.480Z,"20km ESE of Anza, California",earthquake
2014-11-19T08:08:04.800Z,33.2715,-115.9608333,18.22,1.34,ml,17,190,0.3754,0.32,ci,ci37062359,2014-11-19T08:12:36.760Z,"3km S of Salton City, California",earthquake
2014-11-19T08:00:54.000Z,62.6183,-150.4405,35.6,1.7,ml,,,,0.63,ak,ak11445431,2014-11-19T08:53:41.491Z,"36km NNW of Talkeetna, Alaska",earthquake
2014-11-19T07:54:55.350Z,19.9341,120.0915,32.33,4.7,mb,,117,3.013,1.09,us,usc000sytg,2014-11-19T08:24:55.000Z,"167km NNW of Burgos, Philippines",earthquake
2014-11-19T07:53:45.230Z,38.7988319,-122.7580032,2.62,1.42,md,26,65,0.02278,0.03,nc,nc72349701,2014-11-19T11:24:05.058Z,"2km N of The Geysers, California",earthquake
2014-11-19T07:32:20.586Z,41.9407,-119.6484,0,2.84,ml,5,122.92,0.489,0.1235,nn,nn00468521,2014-11-19T14:20:23.996Z,"63km ESE of Lakeview, Oregon",earthquake
2014-11-19T07:31:03.520Z,41.8665,-119.6239,3.0385,2.33,ml,4,130.9,0.507,0.0879,nn,nn00468520,2014-11-19T14:19:21.551Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-19T07:06:16.260Z,38.8111649,-122.8126678,2.81,0.92,md,10,104,0.01238,0.03,nc,nc72349691,2014-11-19T07:36:02.034Z,"6km NW of The Geysers, California",earthquake
2014-11-19T06:40:53.040Z,-37.7799,179.5735,26.51,4.9,mb,,167,1.028,1.36,us,usc000syt7,2014-11-19T14:43:32.242Z,"168km NE of Gisborne, New Zealand",earthquake
2014-11-19T06:37:51.000Z,62.0041,-150.4887,18.3,2,ml,,,,0.45,ak,ak11445402,2014-11-19T07:43:56.549Z,"37km NW of Willow, Alaska",earthquake
2014-11-19T06:12:57.000Z,60.1741,-153.8861,200,2.9,ml,,,,0.72,ak,ak11445398,2014-11-19T14:15:39.437Z,"72km WSW of Redoubt Volcano, Alaska",earthquake
2014-11-19T05:52:48.000Z,18.3535,-67.3356,16,2.4,Md,6,270,0.2407485,0.23,pr,pr14323001,2014-11-19T06:07:37.888Z,"9km W of Rincon, Puerto Rico",earthquake
2014-11-19T05:45:43.000Z,59.9474,-141.224,3.8,2.4,ml,,,,0.79,ak,ak11445395,2014-11-19T06:35:14.681Z,"68km E of Cape Yakataga, Alaska",earthquake
2014-11-19T05:45:38.490Z,38.8076668,-122.8136673,3.43,1.14,md,13,82,0.01218,0.04,nc,nc72349661,2014-11-19T09:11:02.939Z,"6km NW of The Geysers, California",earthquake
